source,sector,unit,scenario_geography,scenario,_2010,_2020,_2030,_2050
WEO2021,Crude oil,usd/barrel,Global,STEPS,92.0,42.0,77.0,88.0
WEO2021,Natural gas,usd/Mbtu,United States,STEPS,5.2,2.0,3.6,4.3
WEO2021,Natural gas,usd/Mbtu,European Union,STEPS,8.8,4.2,7.7,8.3
WEO2021,Natural gas,usd/Mbtu,China,STEPS,7.9,6.3,8.6,8.9
WEO2021,Natural gas,usd/Mbtu,Japan,STEPS,13.0,7.9,8.5,8.9
WEO2021,Coal,usd/tonne,United States,STEPS,60.0,43.0,39.0,38.0
WEO2021,Coal,usd/tonne,European Union,STEPS,109.0,50.0,67.0,63.0
WEO2021,Coal,usd/tonne,Japan,STEPS,127.0,69.0,77.0,70.0
WEO2021,Coal,usd/tonne,Coastal China,STEPS,137.0,89.0,83.0,74.0
WEO2021,Crude oil,usd/barrel,Global,SDS,92.0,42.0,56.0,50.0
WEO2021,Natural gas,usd/Mbtu,United States,SDS,5.2,2.0,1.9,2.0
WEO2021,Natural gas,usd/Mbtu,European Union,SDS,8.8,4.2,4.2,4.5
WEO2021,Natural gas,usd/Mbtu,China,SDS,7.9,6.3,6.3,6.3
WEO2021,Natural gas,usd/Mbtu,Japan,SDS,13.0,7.9,5.4,5.3
WEO2021,Coal,usd/tonne,United States,SDS,60.0,43.0,24.0,22.0
WEO2021,Coal,usd/tonne,European Union,SDS,109.0,50.0,58.0,55.0
WEO2021,Coal,usd/tonne,Japan,SDS,127.0,69.0,67.0,63.0
WEO2021,Coal,usd/tonne,Coastal China,SDS,137.0,89.0,72.0,66.0
WEO2021,Crude oil,usd/barrel,Global,APS,92.0,42.0,67.0,64.0
WEO2021,Natural gas,usd/Mbtu,United States,APS,5.2,2.0,3.1,2.0
WEO2021,Natural gas,usd/Mbtu,European Union,APS,8.8,4.2,6.5,6.5
WEO2021,Natural gas,usd/Mbtu,China,APS,7.9,6.3,8.5,8.1
WEO2021,Natural gas,usd/Mbtu,Japan,APS,13.0,7.9,7.6,6.8
WEO2021,Coal,usd/tonne,United States,APS,60.0,43.0,25.0,25.0
WEO2021,Coal,usd/tonne,European Union,APS,109.0,50.0,66.0,56.0
WEO2021,Coal,usd/tonne,Japan,APS,127.0,69.0,73.0,63.0
WEO2021,Coal,usd/tonne,Coastal China,APS,137.0,89.0,77.0,65.0
WEO2021,Crude oil,usd/barrel,Global,NZE_2050,92.0,42.0,36.0,24.0
WEO2021,Natural gas,usd/Mbtu,United States,NZE_2050,5.2,2.0,1.9,2.0
WEO2021,Natural gas,usd/Mbtu,European Union,NZE_2050,8.8,4.2,3.9,3.6
WEO2021,Natural gas,usd/Mbtu,China,NZE_2050,7.9,6.3,5.3,4.7
WEO2021,Natural gas,usd/Mbtu,Japan,NZE_2050,13.0,7.9,4.4,4.2
WEO2021,Coal,usd/tonne,United States,NZE_2050,60.0,43.0,24.0,22.0
WEO2021,Coal,usd/tonne,European Union,NZE_2050,109.0,50.0,52.0,44.0
WEO2021,Coal,usd/tonne,Japan,NZE_2050,127.0,69.0,58.0,50.0
WEO2021,Coal,usd/tonne,Coastal China,NZE_2050,137.0,89.0,61.0,51.0
