source,sector,unit,scenario_geography,scenario,_2010,_2022,_2030,_2050
WEO2023,IEA crude oil,usd/barrel,Global,STEPS,103.0,98.0,85.0,83.0
WEO2023,Natural gas,usd/Mbtu,United States,STEPS,5.8,5.1,4.0,4.3
WEO2023,Natural gas,usd/Mbtu,European Union,STEPS,9.9,32.3,6.9,7.1
WEO2023,Natural gas,usd/Mbtu,China,STEPS,8.8,13.7,8.4,7.7
WEO2023,Natural gas,usd/Mbtu,Japan,STEPS,14.6,15.9,9.4,7.8
WEO2023,Coal,usd/tonne,United States,STEPS,67.0,53.0,46.0,41.0
WEO2023,Coal,usd/tonne,European Union,STEPS,122.0,290.0,67.0,69.0
WEO2023,Coal,usd/tonne,Japan,STEPS,142.0,336.0,98.0,77.0
WEO2023,Coal,usd/tonne,Coastal China,STEPS,153.0,205.0,96.0,80.0
WEO2023,IEA crude oil,usd/barrel,Global,APS,103.0,98.0,74.0,60.0
WEO2023,Natural gas,usd/Mbtu,United States,APS,5.8,5.1,3.2,2.2
WEO2023,Natural gas,usd/Mbtu,European Union,APS,9.9,32.3,6.5,5.4
WEO2023,Natural gas,usd/Mbtu,China,APS,8.8,13.7,7.8,6.3
WEO2023,Natural gas,usd/Mbtu,Japan,APS,14.6,15.9,8.3,6.3
WEO2023,Coal,usd/tonne,United States,APS,67.0,53.0,43.0,26.0
WEO2023,Coal,usd/tonne,European Union,APS,122.0,290.0,68.0,53.0
WEO2023,Coal,usd/tonne,Japan,APS,142.0,336.0,80.0,59.0
WEO2023,Coal,usd/tonne,Coastal China,APS,153.0,205.0,79.0,62.0
WEO2023,IEA crude oil,usd/barrel,Global,NZE_2050,103.0,98.0,42.0,25.0
WEO2023,Natural gas,usd/Mbtu,United States,NZE_2050,5.8,5.1,2.4,2.0
WEO2023,Natural gas,usd/Mbtu,European Union,NZE_2050,9.9,32.3,4.3,4.1
WEO2023,Natural gas,usd/Mbtu,China,NZE_2050,8.8,13.7,5.9,5.3
WEO2023,Natural gas,usd/Mbtu,Japan,NZE_2050,14.6,15.9,5.5,5.3
WEO2023,Coal,usd/tonne,United States,NZE_2050,67.0,53.0,27.0,23.0
WEO2023,Coal,usd/tonne,European Union,NZE_2050,122.0,290.0,57.0,43.0
WEO2023,Coal,usd/tonne,Japan,NZE_2050,142.0,336.0,65.0,47.0
WEO2023,Coal,usd/tonne,Coastal China,NZE_2050,153.0,205.0,64.0,49.0
